id,holder_name,status,land_area_acres,latitude,longitude,village,district,state
TG_ADI_001,Debu Bai,APPROVED,2.1,19.4404,78.7576,Village_400,Adilabad,Telangana
TG_ADI_002,Rakesh Debbarma,PENDING,2.3,19.5244,78.7218,Village_493,Adilabad,Telangana
TG_ADI_003,Pushpa Ho,PENDING,1.3,19.787,78.5927,Village_657,Adilabad,Telangana
TG_ADI_004,Shyam Ekka,PENDING,2.6,19.2729,78.4919,Village_930,Adilabad,Telangana
TG_ADI_005,Biru Lambada,PENDING,1.4,19.5535,78.8788,Village_690,Adilabad,Telangana
TG_ADI_006,Sabita Bhil,PENDING,2.8,19.2901,78.3582,Village_296,Adilabad,Telangana
TG_ADI_007,Savitri Debbarma,APPROVED,3.0,19.4956,78.4808,Village_285,Adilabad,Telangana
TG_ADI_008,Ajay Koya,APPROVED,0.8,19.4754,78.5569,Village_769,Adilabad,Telangana
TG_ADI_009,Mohan Pradhan,PENDING,1.8,19.5535,78.3856,Village_892,Adilabad,Telangana
TG_ADI_010,Gouranga Santhal,APPROVED,0.8,19.621,78.5081,Village_515,Adilabad,Telangana
TG_ADI_011,Amar Majhi,APPROVED,1.9,19.5423,78.3316,Village_677,Adilabad,Telangana
TG_ADI_012,Mallesh Oraon,APPROVED,2.1,19.5679,78.7877,Village_786,Adilabad,Telangana
TG_ADI_013,Kamalamma Korku,PENDING,2.1,19.9056,78.3266,Village_648,Adilabad,Telangana
TG_ADI_014,Soni Nayak,APPROVED,2.4,19.308,78.8122,Village_917,Adilabad,Telangana
TG_ADI_015,Sabita Santhal,APPROVED,1.1,19.8049,78.6007,Village_833,Adilabad,Telangana
TG_ADI_016,Roshan Birhor,PENDING,2.2,19.5984,78.7487,Village_812,Adilabad,Telangana
TG_ADI_017,Mallesh Birhor,APPROVED,1.2,19.3483,78.6965,Village_377,Adilabad,Telangana
TG_ADI_018,Sarla Meena,APPROVED,1.6,19.1813,78.4078,Village_939,Adilabad,Telangana
TG_ADI_019,Devraj Meena,APPROVED,2.8,19.6819,78.3065,Village_312,Adilabad,Telangana
TG_HYD_001,Kamini Naik,APPROVED,1.6,17.4199,78.5141,Village_554,Hyderabad,Telangana
TG_HYD_002,Linga Naik,PENDING,1.9,17.4728,78.5162,Village_809,Hyderabad,Telangana
TG_HYD_003,Rinku Koya,PENDING,2.6,17.4053,78.4758,Village_879,Hyderabad,Telangana
